Nama,Rating,Tanggal,Ulasan
muhamad s. B. B.,10,Profil ini privat.,Kamarnya nyaman dan sarapannya juga enak.
M H. S.,10,11/16/2017,"Hotelnya bersih, nyaman dan bagus."
PUTRA Y. R.,10,Profil ini privat.,"Hotel baru, bagus dan nyaman. Sayang jalan didepannya lagi ada pekerjaan, jadi debu dan kotor dimana-mana."
afif n. a.,10,11/06/2017,"New hotel bagus, makanannya enak, kamarnya bersih, bantal dan kasur yang nyaman."
M H. S.,10,11/16/2017,"Hotelnya bersih, nyaman dan bagus."
PUTRA Y. R.,10,Profil ini privat.,"Hotel baru, bagus dan nyaman. Sayang jalan didepannya lagi ada pekerjaan, jadi debu dan kotor dimana-mana."
afif n. a.,10,11/06/2017,"New hotel bagus, makanannya enak, kamarnya bersih, bantal dan kasur yang nyaman."
Uckhy A.,10,11/05/2017,Sangat memuaskan.. lain waktu saya akan mencoba menginap disana kembali..
Oktri w.,10,10/29/2017,"Hotelnya sangat bagus, luas dan baru, yang lebih menarik lagi banyak spot bagus untuk foto."
faridah,10,10/29/2017,Hanya untuk liburan keluarga saja.
Uckhy A.,10,11/05/2017,Sangat memuaskan.. lain waktu saya akan mencoba menginap disana kembali..
Oktri w.,10,10/29/2017,"Hotelnya sangat bagus, luas dan baru, yang lebih menarik lagi banyak spot bagus untuk foto."
faridah,10,10/29/2017,Hanya untuk liburan keluarga saja.
Endro G.,10,10/21/2017,"Hotel sangat bersih dan nyaman, pelayanan memuaskan, proses check in dan check out sangat mudah dan lancar"
Bagus G. A.,10,Profil ini privat.,"Hotelnya baru, jadi seluruh fasilitasnya sangat baik dan akses lokasi yang berada di tengah kota serta pilihan sarapan yang sangat banyak."
Fenny L.,10,10/08/2017,"Hotel baru dan bagus, pelayanan juga bagus"
Mediana,10,10/04/2017,"Walaupun baru buka dan fasilitas masih banyak banget yang belum disediakan oleh pihak hotel tapi pelayanan dan yang lainnya sih ok lah. Nyaman, bersih dan wangi."
Endro G.,10,10/21/2017,"Hotel sangat bersih dan nyaman, pelayanan memuaskan, proses check in dan check out sangat mudah dan lancar"
Bagus G. A.,10,Profil ini privat.,"Hotelnya baru, jadi seluruh fasilitasnya sangat baik dan akses lokasi yang berada di tengah kota serta pilihan sarapan yang sangat banyak."
Fenny L.,10,10/08/2017,"Hotel baru dan bagus, pelayanan juga bagus"
Mediana,10,10/04/2017,"Walaupun baru buka dan fasilitas masih banyak banget yang belum disediakan oleh pihak hotel tapi pelayanan dan yang lainnya sih ok lah. Nyaman, bersih dan wangi."
Mikhail A.,10,07/10/2022,Tinggal sangat baik dan semua staf sangat ramah! Tempat tidur berukuran sangat besar lebih seperti double daripada single. Sarapan prasmanan juga terpuji dengan berbagai makanan untuk dipilih ditambah mie dan telur batangan yang mereka masak di tempat. Lokasinya bagus dekat banyak mal dan tempat makanan laut yang bagus dengan ambil (est 5-10 menit ke setiap lokasi). Saya dan ibu saya sangat menikmati masa menginap dan pasti akan memesan lagi ketika saya kembali :)
Mikhail A.,10,07/10/2022,Tinggal sangat baik dan semua staf sangat ramah! Tempat tidur berukuran sangat besar lebih seperti double daripada single. Sarapan prasmanan juga terpuji dengan berbagai makanan untuk dipilih ditambah mie dan telur batangan yang mereka masak di tempat. Lokasinya bagus dekat banyak mal dan tempat makanan laut yang bagus dengan ambil (est 5-10 menit ke setiap lokasi). Saya dan ibu saya sangat menikmati masa menginap dan pasti akan memesan lagi ketika saya kembali :)
Ismangil H.,10,06/20/2022,Hotel yang bagus dan indah untuk menginap bersama keluarga. Staf yang sangat ramah di semua area ketika bertemu…. Kebersihan kondisi prima…. Sarapannya beragam dengan banyak pilihan dari makanan lokal dan internasional. Direkomendasikan!
Debie A.,10,01/16/2022,Saya sangat senang menginap di Aston Batam Hotel and Residence. Akomodasi ini sangat membantu saya dan keluarga saya selama kami tinggal. Sepenuhnya direkomendasikan.
Ismangil H.,10,06/20/2022,Hotel yang bagus dan indah untuk menginap bersama keluarga. Staf yang sangat ramah di semua area ketika bertemu…. Kebersihan kondisi prima…. Sarapannya beragam dengan banyak pilihan dari makanan lokal dan internasional. Direkomendasikan!
Debie A.,10,01/16/2022,Saya sangat senang menginap di Aston Batam Hotel and Residence. Akomodasi ini sangat membantu saya dan keluarga saya selama kami tinggal. Sepenuhnya direkomendasikan.
Muhammad D.,10,09/14/2021,Saya memiliki pengalaman paling nyaman.
